FeatureID	Kingdom	Phylum	Class	Order	Family	Genus
Otu002582	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
Otu002583	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
Otu002584	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002585	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unclassified
Otu002586	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister
Otu002587	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
Otu002588	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002589	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
Otu002590	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002591	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified
Otu002592	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002593	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella
Otu002594	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002595	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu002596	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	unclassified
Otu002597	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002598	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu002599	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002600	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa
Otu002601	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified
Otu002602	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
Otu002603	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002604	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu002605	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia
Otu002606	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002607	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002608	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002609	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu002610	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia
Otu002611	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Otu002612	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002613	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu002614	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002615	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu002616	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002617	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002618	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
Otu002619	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002620	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu002621	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu002622	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002623	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella
Otu002624	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Otu002625	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Otu002626	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002627	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
Otu002628	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
Otu002629	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu002630	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
